Time,Voltage 
0,-0.054
0.002,-0.063
0.004,-0.071
0.006,-0.0665
0.008,-0.073
0.01,-0.067
0.012,-0.0665
0.014,-0.063
0.016,-0.0755
0.018,-0.0815
0.02,-0.091
0.022,-0.0945
0.024,-0.097
0.026,-0.0965
0.028,-0.086
0.03,-0.0805
0.032,-0.077
0.034,-0.076
0.036,-0.0855
0.038,-0.0865
0.04,-0.098
0.042,-0.107
0.044,-0.1035
0.046,-0.103
0.048,-0.0955
0.05,-0.0865
0.052,-0.091
0.054,-0.078
0.056,-0.0925
0.058,-0.101
0.06,-0.1085
0.062,-0.106
0.064,-0.112
0.066,-0.1045
0.068,-0.1015
0.07,-0.1015
0.072,-0.093
0.074,-0.095
0.076,-0.099
0.078,-0.104
0.08,-0.1125
0.082,-0.1115
0.084,-0.1195
0.086,-0.113
0.088,-0.11
0.09,-0.1005
0.092,-0.0955
0.094,-0.091
0.096,-0.096
0.098,-0.102
0.1,-0.1135
0.102,-0.112
0.104,-0.1245
0.106,-0.1175
0.108,-0.113
0.11,-0.0995
0.112,-0.1
0.114,-0.097
0.116,-0.1055
0.118,-0.1145
0.12,-0.1235
0.122,-0.1275
0.124,-0.128
0.126,-0.1305
0.128,-0.1275
0.13,-0.1155
0.132,-0.1195
0.134,-0.118
0.136,-0.1185
0.138,-0.123
0.14,-0.1315
0.142,-0.134
0.144,-0.1415
0.146,-0.1355
0.148,-0.1415
0.15,-0.136
0.152,-0.126
0.154,-0.126
0.156,-0.136
0.158,-0.137
0.16,-0.1435
0.162,-0.1475
0.164,-0.156
0.166,-0.146
0.168,-0.148
0.17,-0.1425
0.172,-0.1405
0.174,-0.136
0.176,-0.1465
0.178,-0.148
0.18,-0.1555
0.182,-0.168
0.184,-0.1625
0.186,-0.1605
0.188,-0.1605
0.19,-0.1575
0.192,-0.138
0.194,-0.1415
0.196,-0.1425
0.198,-0.1535
0.2,-0.156
0.202,-0.154
0.204,-0.166
0.206,-0.162
0.208,-0.1515
0.21,-0.1425
0.212,-0.1365
0.214,-0.1305
0.216,-0.139
0.218,-0.141
0.22,-0.147
0.222,-0.151
0.224,-0.1515
0.226,-0.146
0.228,-0.139
0.23,-0.1335
0.232,-0.1305
0.234,-0.135
0.236,-0.1345
0.238,-0.138
0.24,-0.1455
0.242,-0.1415
0.244,-0.1555
0.246,-0.147
